tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	7015	0	live	TERT	CMM9, DKCA2, DKCB4, EST2, PFBMFT1, TCS1, TP2, TRT, hEST2, hTRT	telomerase reverse transcriptase	telomerase catalytic subunit|telomerase-associated protein 2	5p15.33	5	NC_000005.10	1253167	1295047	minus	18	187270	
9606	Homo sapiens	8626	0	live	TP63	AIS, B(p51A), B(p51B), EEC3, KET, LMS, NBP, OFC8, RHS, SHFM4, TP53CP, TP53L, TP73L, p40, p51, p53CP, p63, p73H, p73L	tumor protein p63	CUSP|amplified in squamous cell carcinoma|chronic ulcerative stomatitis protein|keratinocyte transcription factor KET|transformation-related protein 63|tumor protein p53-competing protein|tumor protein p63 deltaN isoform delta	3q28	3	NC_000003.12	189566861	189897279	plus	20	603273	
9606	Homo sapiens	1956	0	live	EGFR	ERBB, ERBB1, HER1, NISBD2, PIG61, mENA	epidermal growth factor receptor	avian erythroblastic leukemia viral (v-erb-b) oncogene homolog|cell growth inhibiting protein 40|cell proliferation-inducing protein 61|erb-b2 receptor tyrosine kinase 1|proto-oncogene c-ErbB-1|receptor tyrosine-protein kinase erbB-1	7p12	7	NC_000007.14	55019032	55207338	plus	30	131550	
9606	Homo sapiens	1138	0	live	CHRNA5	LNCR2	cholinergic receptor nicotinic alpha 5 subunit	Cholinergic receptor, neuronal nicotinic, alpha polypeptide-5|acetylcholine receptor, nicotinic, alpha 5 (neuronal)|cholinergic receptor, nicotinic alpha 5|cholinergic receptor, nicotinic, alpha 5 (neuronal)|neuronal nicotinic acetylcholine receptor, alpha5 subunit	15q24	15	NC_000015.10	78565520	78595269	plus	6	118505	
9606	Homo sapiens	1136	0	live	CHRNA3	LNCR2, NACHRA3, PAOD2	cholinergic receptor nicotinic alpha 3 subunit	cholinergic receptor, nicotinic alpha 3|cholinergic receptor, nicotinic, alpha 3 (neuronal)|cholinergic receptor, nicotinic, alpha polypeptide 3|neuronal nicotinic acetylcholine receptor, alpha3 subunit	15q24	15	NC_000015.10	78593052	78621295	minus	10	118503	
9606	Homo sapiens	23705	0	live	CADM1	BL2, IGSF4, IGSF4A, NECL2, Necl-2, RA175, ST17, SYNCAM, TSLC1, sTSLC-1, sgIGSF, synCAM1	cell adhesion molecule 1	TSLC-1|TSLC1/Nectin-like 2/IGSF4|immunoglobulin superfamily member 4|immunoglobulin superfamily, member 4|immunoglobulin superfamily, member 4D variant 1|immunoglobulin superfamily, member 4D variant 2|nectin-like 2|nectin-like protein 2|spermatogenic immunoglobulin superfamily|synaptic cell adhesion molecule|truncated CADM1 protein|tumor suppressor in lung cancer 1	11q23.2	11	NC_000011.10	115173625	115504523	minus	12	605686	
9606	Homo sapiens	10399	0	live	RACK1	GNB2L1, Gnb2-rs1, H12.3, HLC-7, PIG21	receptor for activated C kinase 1	cell proliferation-inducing gene 21 protein|guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1|guanine nucleotide binding protein beta polypeptide 2-like 1|guanine nucleotide-binding protein subunit beta-2-like 1|guanine nucleotide-binding protein subunit beta-like protein 12.3|human lung cancer oncogene 7 protein|lung cancer oncogene 7|proliferation-inducing gene 21|protein homologous to chicken B complex protein, guanine nucleotide binding|receptor of activated protein kinase C 1	5q35.3	5	NC_000005.10	181236928	181243906	minus	8	176981	
9606	Homo sapiens	2064	0	live	ERBB2	CD340, HER-2, HER-2/neu, HER2, MLN 19, NEU, NGL, TKR1	erb-b2 receptor tyrosine kinase 2	c-erb B2/neu protein|herstatin|human epidermal growth factor receptor 2|metastatic lymph node gene 19 protein|neuro/glioblastoma derived oncogene homolog|neuroblastoma/glioblastoma derived oncogene homolog|p185erbB2|proto-oncogene Neu|proto-oncogene c-ErbB-2|tyrosine kinase-type cell surface receptor HER2|v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2|v-erb-b2 avian erythroblastic leukemia viral oncoprotein 2|v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog	17q12	17	NC_000017.11	39688084	39728662	plus	32	164870	
9606	Homo sapiens	1401	0	live	CRP	PTX1	C-reactive protein, pentraxin-related	pentraxin 1	1q23.2	1	NC_000001.11	159712289	159714609	minus	3	123260	
9606	Homo sapiens	673	0	live	BRAF	B-RAF11, NS7, RAFB1, BRAF	B-Raf proto-oncogene, serine/threonine kinase	94 kDa B-raf protein|B-Raf proto-oncogene serine/threonine-protein kinase (p94)|murine sarcoma viral (v-raf) oncogene homolog B1|proto-oncogene B-Raf|v-raf murine sarcoma viral oncogene homolog B|v-raf murine sarcoma viral oncogene homolog B1	7q34	7	NC_000007.14	140715951	140924764	minus	22	164757	
